LoaiBaiViet,TGĐang,SoNguoiTC,TongLC,TongNTT,TongCXBLCS
Ảnh,12:10,27316.0,19025.241465445462,1414.0,677.0
Video,15:25,51367.0,5320.0,5656.0,1365.0
Ảnh,20:05,80182.0,2047.0,3821.0,2192.0
Ảnh,20:30,234510.0,9290.0,14741.0,7699.0
Video,10:09,80555.0,4364.0,5132.0,1099.0
Ảnh,13:28,38388.0,19025.241465445462,2900.0,6883.051666666666
Ảnh,15:07,37102.0,1829.0,3360.0,2507.0
Ảnh,17:39,111417.0,5901.0,7438.0,3170.0
Ảnh,08:59,35552.0,4594.0,5569.0,2535.0
Ảnh,15:00,131969.0,5617.0,6858.0,2273.0
Video,18:00,132549.0,7944.0,8676.0,1414.0
Ảnh,20:59,185791.0,18038.0,19636.0,5943.0
Video,12:22,486553.0,28283.0,32348.0,8533.0
Ảnh,13:57,16469.0,19025.241465445462,1345.0,6883.051666666666
Ảnh,13:31,85498.0,8549.0,10209.0,3669.0
Ảnh,14:00,127044.0,12129.0,15122.0,6540.0
Ảnh,14:30,105535.0,6728.0,8973.0,3967.0
Ảnh,15:00,160517.0,10433.0,12680.0,5224.0
Ảnh,15:30,167902.0,10901.0,15625.0,7585.0
Video,18:37,46262.0,2481.0,3221.0,1173.0
Ảnh,19:00,465587.0,52795.0,42419.0,3009.0
Ảnh,20:00,200364.0,24056.0,25928.0,9884.0
Ảnh,12:04,80097.0,3009.0,5391.0,3197.0
Ảnh,15:00,29210.0,19025.241465445462,20827.715662650604,6883.051666666666
Ảnh,16:57,127443.0,5298.0,8780.0,5016.0
Video,17:22,35664.0,19025.241465445462,2057.0,1092.0
Ảnh,19:00,35462.0,1705.0,2464.0,1228.0
Ảnh,20:00,19099.0,19025.241465445462,1131.0,6883.051666666666
Video,21:24,38001.0,1713.0,2577.0,1096.0
Video,18:18,240244.0,16878.0,17519.0,3170.0
Ảnh,12:06,6659.0,19025.241465445462,1550.0,1328.0
Video,12:45,171090.0,9667.0,11790.0,3651.0
Ảnh,17:38,212376.0,19384.0,23376.0,8906.0
Ảnh,12:00,190648.0,13363.0,14359.0,2797.0
Video,12:22,298617.0,16868.0,20454.0,5510.0
Ảnh,13:30,271981.0,7961.0,12000.0,5763.0
Ảnh,16:33,154123.0,11989.0,14885.0,6217.0
Ảnh,17:00,540951.0,52416.0,54220.0,10610.0
Ảnh,18:00,40949.0,19025.241465445462,3360.0,2147.0
Video,19:18,87205.0,5465.0,7027.0,2328.0
Ảnh,19:30,493327.0,27031.0,31280.0,10999.0
Ảnh,19:48,30616.0,2711.0,3192.0,977.0
Ảnh,19:58,378262.0,65020.0,60383.0,6268.0
Ảnh,20:09,133149.0,9304.0,11988.0,5021.0
Ảnh,20:18,25631.0,19025.241465445462,1714.0,6883.051666666666
Ảnh,20:31,148247.0,9887.0,13147.0,5652.0
Ảnh,22:03,289244.0,32191.0,34726.0,6121.0
Ảnh,14:16,46724.0,5741.0,5722.0,6883.051666666666
Ảnh,15:28,93534.0,3782.0,7945.0,5716.0
Ảnh,19:00,29147.0,1458.0,2017.0,978.0
Ảnh,20:00,23447.0,272.0,1318.0,1117.0
Ảnh,20:30,420377.0,55324.0,58848.0,20046.0
Video,09:50,211621.0,27868.0,27604.0,2657.0
Ảnh,17:00,12935.0,19025.241465445462,20827.715662650604,6883.051666666666
Video,17:44,602030.0,47900.0,53234.0,9463.0
Ảnh,18:00,52652.0,19025.241465445462,2298.0,1167.0
Video,19:00,119327.0,5311.0,7352.0,2839.0
Video,19:24,81090.0,4118.0,5181.0,1496.0
Video,19:30,164316.0,10056.0,11026.0,2224.0
Ảnh,20:00,110785.0,8527.0,10830.0,5032.0
Video,20:30,272707.0,9787.0,16412.0,8516.0
Ảnh,21:00,254220.0,15414.0,19702.0,11075.0
Ảnh,21:34,1040662.0,62512.0,99840.0,58860.0
Ảnh,22:05,88837.0,4143.0,8453.0,5542.0
Video,09:38,64682.0,1892.0,3154.0,1552.0
Ảnh,10:00,126131.0,9494.0,10721.0,2630.0
Video,10:41,320384.0,18110.0,20706.0,7040.0
Ảnh,11:18,127586.0,7295.0,9886.0,4566.0
Ảnh,13:20,103508.0,5854.0,5713.0,1345.0
Ảnh,15:56,232773.0,15467.0,19152.0,6232.0
Ảnh,17:00,202277.0,2513.0,3954.0,1844.0
Ảnh,20:23,224627.37346437346,19025.241465445462,1242.0,491.0
Ảnh,20:59,180351.0,9309.0,14114.0,8032.0
Ảnh,21:30,41006.0,19025.241465445462,1337.0,673.0
Ảnh,11:10,246043.0,15769.0,22472.0,11373.0
Ảnh,11:49,96457.0,3909.0,7247.0,4641.0
Video,13:04,29643.0,19025.241465445462,2057.0,529.0
Video,15:00,585579.0,40732.0,50616.0,16727.0
Video,17:00,162617.0,8246.0,12801.0,6326.0
Video,18:22,90714.0,6643.0,7179.0,1798.0
Ảnh,20:16,26662.0,816.0,1330.0,727.0
Video,11:45,609601.0,38408.0,46917.0,20029.0
Video,12:19,43741.0,2859.0,3708.0,1401.0
Ảnh,19:15,81633.0,2791.0,5508.0,3418.0
Ảnh,21:10,224627.37346437346,2085.0,3499.0,2041.0
Ảnh,21:32,87109.0,1592.0,3428.0,2348.0
Ảnh,09:26,81171.0,9009.0,11757.0,5652.0
Ảnh,11:59,61007.0,2610.0,3444.0,6883.051666666666
Ảnh,12:30,272827.0,17473.0,18523.0,4143.0
Video,13:43,300909.0,21439.0,23784.0,5679.0
Ảnh,15:26,224627.37346437346,19025.241465445462,2252.0,1164.0
Video,16:00,200805.0,14434.0,17970.0,6377.0
Video,10:41,514622.0,50445.0,54581.0,14914.0
Video,19:00,224627.37346437346,2513.0,3235.0,1036.0
Ảnh,20:30,208621.0,19432.0,23244.0,10217.0
Ảnh,21:00,72910.0,1808.0,2757.0,1528.0
Ảnh,21:30,54557.0,3909.0,6411.0,3402.0
Ảnh,20:01,106507.0,7253.0,10190.0,5062.0
Ảnh,16:45,17794.0,493.0,1171.0,816.0
Video,21:05,200031.0,6991.0,9098.0,2692.0
Ảnh,20:38,58955.0,6045.0,6512.0,1346.0
Ảnh,20:26,62957.0,6536.0,8110.0,2855.0
Ảnh,19:00,115621.0,7494.0,9651.0,3880.0
Video,18:00,22407.0,685.0,1044.0,469.0
Ảnh,17:32,72397.0,5013.0,6356.0,2686.0
Ảnh,16:50,128815.0,4942.0,6982.0,2963.0
Ảnh,22:00,224627.37346437346,19025.241465445462,1877.0,1171.0
Ảnh,21:36,122862.0,3786.0,7629.0,5404.0
Ảnh,21:00,89091.0,3143.0,4924.0,2669.0
Ảnh,20:11,395196.0,49188.0,46845.0,6296.0
Ảnh,07:58,605220.0,31970.0,44193.0,20131.0
Ảnh,00:09,109204.0,6267.0,9106.0,4929.0
Ảnh,22:34,109846.0,6009.0,9231.0,5576.0
Ảnh,21:30,224627.37346437346,1552.0,3136.0,2126.0
Ảnh,21:00,112785.0,4942.0,6285.0,2294.0
Ảnh,20:28,11235.0,19025.241465445462,20827.715662650604,6883.051666666666
Ảnh,20:00,45436.0,1344.0,2049.0,1150.0
Ảnh,19:00,198368.0,12112.0,16303.0,7466.0
Video,12:17,568856.0,46514.0,49162.0,8670.0
Ảnh,20:00,52590.0,2994.0,4924.0,2541.0
Ảnh,19:00,48682.0,2540.0,2768.0,6883.051666666666
Ảnh,18:13,343979.0,14579.0,26452.0,17117.0
Ảnh,15:13,80001.0,8405.0,9699.0,3292.0
Ảnh,19:00,23543.0,837.0,1758.0,1133.0
Ảnh,18:00,116643.0,3685.0,6299.0,3751.0
Video,15:18,88110.0,5024.0,6355.0,2392.0
Ảnh,14:00,282928.0,9428.0,11512.0,4284.0
Ảnh,20:22,402932.0,16168.0,22302.0,10342.0
Ảnh,17:00,263842.0,26262.0,26519.0,5107.0
Ảnh,16:00,126340.0,4084.0,6381.0,3134.0
Ảnh,18:00,655192.0,26848.0,36434.0,17548.0
Ảnh,17:00,305658.0,7771.0,11297.0,4806.0
Ảnh,16:00,224627.37346437346,1002.0,1880.0,1114.0
Video,12:48,1138900.0,113063.0,121244.0,24284.0
Ảnh,11:24,1097975.0,108975.0,116902.0,36819.0
Video,14:32,37534.0,2221.0,2827.0,821.0
Ảnh,21:47,180648.0,1974.0,4417.0,3112.0
